year,precipitation-winter,precipitation-spring,precipitation-summer,precipitation-fall
1987,56,64,90,85
1988,56,195,16,34
1989,41,59,103,135
1990,18,120,110,61
1991,92,83,121,93
1992,25,91,61,91
1993,21,96,58,84
1994,29,43,62,101
1995,22,62,24,66
1996,123,78,74,130
1997,78,238,79,78
1998,23,65,40,60
1999,80,88,84,51
2000,27,153,9,190
2001,118,90,106,80
2002,53,154,80,146
2003,171,106,111,151
2004,120,83,62,130
2005,21,85,46,237
2006,65,101,139,76
2007,66,201,55,29
2008,74,238,51,157
2009,94,127,116,143
2010,140,150,107,137
2011,126,135,27,94
2012,6,184,61,216
2013,172,162,82,110
2014,118,147,129,171
2015,80,92,54,71
2016,213,88,40,152
