year,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10
1987,460,922,-798,-708,-21,13.9,5088,117,21.4,30
1988,239,907,-991,-810,-54,13.4,4894,111,20.9,40
1989,289,879,-901,-751,-53,13.4,4885,105,21.6,35
1990,365,895,-833,-718,0,12.9,4738,109,21.8,43
1991,363,940,-942,-822,17,13.5,4921,100,21.2,29
1992,363,855,-833,-696,-38,13.6,4962,105,20.7,15
1993,279,930,-1030,-790,-94,13.9,5061,109,21.7,26
1994,327,929,-1029,-784,-100,13.9,5074,120,22.5,25
1995,326,873,-885,-756,2,13.8,5046,107,21.9,32
1996,402,877,-831,-758,24,12.9,4718,84,20.7,38
1997,379,910,-909,-764,2,13.2,4835,97,21.1,30
1998,338,878,-859,-688,-49,13.4,4904,113,20.7,26
1999,359,894,-902,-687,-76,13.2,4823,102,21.6,31
2000,225,934,-1092,-858,-112,13.6,4957,114,22.3,36
2001,414,853,-730,-705,37,12.4,4553,99,20.8,63
2002,306,861,-897,-701,-96,13.3,4866,98,21.9,37
2003,325,862,-900,-757,-21,14.1,5138,98,21.2,15
2004,369,845,-794,-668,-33,13.4,4904,101,21.7,26
2005,366,913,-887,-685,-66,13.4,4888,111,23.7,46
2006,411,886,-796,-716,30,13.4,4888,97,21.4,29
2007,491,877,-697,-660,62,13.1,4780,98,20.9,42
2008,285,884,-924,-761,-46,13.7,4993,112,21.3,32
2009,388,847,-775,-685,-17,12.8,4677,100,20.8,39
2010,351,858,-846,-622,-91,13.3,4884,96,21.4,44
2011,474,889,-758,-676,-16,13.7,4995,110,23.0,38
2012,223,855,-945,-750,-104,13.1,4801,102,21.0,29
2013,336,856,-851,-737,-5,13.4,4902,98,21.6,29
2014,304,894,-925,-775,-37,14.0,5123,127,23.1,27
2015,189,843,-981,-741,-114,13.2,4835,93,21.3,33
2016,355,865,-818,-725,-59,13.5,4924,100,21.6,29
2016
2017,360,931,-909,-794,-61,15.2,5536,121,23.5,15
2018,376,927,-905,-770,-2,14.6,5349,133,23.0,16
2019,434,953,-851,-730,-55,14.6,5328,140,23.4,22
2020,331,917,-942,-797,-41,14.9,5459,122,23.3,16
2021,336,981,-995,-829,-53,13.8,5053,111,23.3,27
2022,346,857,-876,-679,-48,14.7,5355,114,22.2,11
2023,243,992,-1131,-871,-103,14.4,5260,135,23.4,25
2024,408,947,-952,-680,-122,14.1,5158,115,23.2,28
2025,368,861,-817,-690,-39,13.8,5034,110,22.3,13
2026,374,919,-908,-672,-65,13.7,5001,102,21.4,15
2027,365,1000,-1047,-873,-44,15.6,5704,115,24.3,9
2028,300,904,-929,-806,-35,14.7,5376,128,24.0,20
2029,330,971,-1020,-832,-64,14.1,5140,113,23.6,18
2030,297,945,-1077,-812,-89,14.9,5439,120,22.0,12
2031,611,920,-632,-599,7,15.1,5502,126,23.7,7
2032,459,875,-763,-635,-38,14.2,5201,125,22.7,16
2033,367,931,-858,-753,10,14.3,5227,124,23.2,15
2034,270,920,-986,-809,-86,14.5,5277,124,21.9,8
2035,482,924,-754,-746,47,14.0,5114,110,22.0,20
2036,356,884,-861,-730,-36,14.2,5195,116,23.4,24
2037,339,908,-890,-759,-78,14.0,5103,107,22.6,17
2038,258,917,-977,-839,-48,14.5,5280,123,23.3,15
2039,328,907,-920,-775,-51,14.3,5225,127,22.3,19
2040,264,963,-1039,-823,-51,15.1,5535,143,23.9,15
2041,332,886,-887,-707,-51,14.2,5193,124,22.4,12
2042,293,884,-916,-793,-62,14.0,5117,118,22.3,12
2043,295,877,-887,-731,-34,13.3,4861,104,21.3,18
2044,449,872,-751,-550,-82,13.7,5040,104,22.3,23
2045,433,890,-777,-686,22,14.2,5197,113,22.6,16
2046,343,953,-926,-805,-80,14.4,5256,124,23.7,21

min.,0,550,,,,9,3600,20,16
max.,1500,1100,,,,17,6600,180,26
steps.,11,11,,,,9,11,9,11
decimals
