year,average-temperature-winter,average-temperature-spring,average-temperature-summer,average-temperature-fall
1987,6,16,23,9
1988,7,15,22,9
1989,7,16,22,11
1990,8,14,20,8
1991,7,14,22,9
1992,6,15,21,10
1993,6,16,20,9
1994,8,16,22,10
1995,7,16,21,10
1996,7,15,20,9
1997,8,15,20,10
1998,7,15,21,8
1999,6,16,21,8
2000,7,16,21,9
2001,8,16,21,8
2002,8,16,20,10
2003,7,17,23,9
2004,7,16,23,10
2005,4,17,21,8
2006,6,17,22,10
2007,8,17,21,9
2008,8,15,22,8
2009,7,17,23,11
2010,6,16,22,9
2011,7,18,23,11
2012,7,18,23,11
2013,7,14,22,9
2014,8,18,23,12
2015,6,17,22,10
2016,7,16,22,9
