year,V1,V2,V3,V9
,label V1,label V2,label V3,label V9
1987,2366,12,-708,0
1988,2290,8,-810,0
1989,2259,12,-751,3
1990,2260,13,-718,2
1991,2267,11,-822,0
1992,2158,12,-696,0
1993,2272,13,-790,3
1994,2204,14,-784,1
1995,2309,15,-756,1
1996,2026,12,-758,0
1997,2115,12,-764,1
1998,2220,12,-688,1
1999,2179,13,-687,1
2000,2255,12,-858,2
2001,2153,11,-705,0
2002,2140,15,-701,3
2003,2128,12,-757,3
2004,2164,13,-668,1
2005,2375,14,-685,1
2006,2274,11,-716,0
2007,2215,11,-660,1
2008,2290,12,-761,2
2009,2080,11,-685,1
2010,2172,11,-622,2
2011,2329,13,-676,2
2012,2123,12,-750,1
2013,2151,13,-737,4
2014,2359,15,-775,4
2015,2059,9,-741,10
2016,2218,13,-725,0
2016
2017,2588,14,-794,0
2018,2458,13,-770,0
2019,2588,17,-730,1
2020,2488,13,-797,0
2021,2418,14,-829,0
2022,2289,13,-679,1
2023,2581,15,-871,0
2024,2279,14,-680,6
2025,2247,13,-690,0
2026,2287,14,-672,0
2027,2617,15,-873,0
2028,2592,13,-806,0
2029,2456,14,-832,3
2030,2398,14,-812,0
2031,2616,15,-599,0
2032,2247,12,-635,2
2033,2512,16,-753,3
2034,2451,15,-809,0
2035,2487,12,-746,0
2036,2411,15,-730,0
2037,2434,13,-759,0
2038,2501,14,-839,3
2039,2416,14,-775,0
2040,2661,16,-823,0
2041,2327,13,-707,0
2042,2276,13,-793,5
2043,2168,12,-731,3
2044,2272,11,-550,1
2045,2458,14,-686,0
2046,2527,14,-805,9

min.,1000,10
max.,3000,20
steps.,11,11
decimals
