year,C1,C2,C3,C12,M1,M2,M8,Co2,Co3
,label C1-FGN,label C2,label C3-FGN,label C12,label M1-FGN,label M2,label M8,label Co2,label Co3
1987,13,0,-335,7,2,-653,30,3,88
1988,8,2,-446,9,10,-628,31,1,25
1989,5,1,-367,7,6,-589,33,9,31
1990,2,3,-302,8,5,-575,32,21,30
1991,6,0,-503,9,5,-634,23,4,52
1992,6,0,-318,11,2,-575,40,11,5
1993,0,0,-423,8,2,-612,26,8,42
1994,3,0,-387,7,6,-632,43,9,4
1995,1,0,-392,11,1,-570,21,7,17
1996,0,1,-364,7,2,-630,44,11,15
1997,4,1,-389,10,3,-600,44,9,29
1998,6,0,-426,6,3,-632,27,3,116
1999,3,0,-332,9,2,-535,44,9,39
2000,2,0,-430,10,10,-650,34,8,21
2001,4,0,-254,7,1,-537,33,15,3
2002,0,2,-342,6,1,-574,41,7,57
2003,3,0,-401,10,2,-622,42,2,20
2004,5,0,-315,9,6,-571,41,0,48
2005,1,0,-326,7,15,-635,38,22,56
2006,1,1,-359,10,6,-551,28,9,35
2007,7,0,-284,7,7,-548,36,20,34
2008,6,0,-351,7,1,-585,36,11,1
2009,3,0,-337,7,2,-576,37,12,32
2010,2,0,-280,8,2,-533,37,8,39
2011,2,1,-273,9,11,-592,39,20,31
2012,6,0,-351,6,2,-596,40,8,8
2013,6,1,-374,8,6,-561,39,1,5
2014,5,0,-405,9,6,-621,41,9,43
2015,5,0,-374,10,8,-592,41,5,0
2016,6,0,-348,8,5,-572,36,8,30
2016
2017,15,0,-467,9,11,-641,29,5,43
2018,5,0,-375,9,13,-619,35,8,44
2019,18,1,-302,6,12,-694,33,2,53
2020,10,0,-366,10,12,-658,35,3,19
2021,7,0,-418,11,12,-623,36,4,64
2022,1,0,-301,7,9,-526,32,7,24
2023,3,0,-473,11,9,-673,32,7,29
2024,1,0,-299,7,12,-615,37,5,72
2025,2,0,-315,10,4,-536,34,1,38
2026,4,0,-429,10,4,-590,30,10,135
2027,12,0,-442,7,19,-685,37,1,45
2028,6,2,-415,10,16,-623,34,1,31
2029,6,0,-414,10,9,-705,37,5,18
2030,13,0,-445,11,4,-587,35,2,0
2031,7,0,-266,9,17,-586,24,3,75
2032,6,0,-271,9,4,-544,47,0,68
2033,6,0,-363,8,6,-632,32,3,44
2034,6,0,-467,10,0,-603,21,0,54
2035,12,0,-382,7,6,-631,30,9,15
2036,5,0,-355,8,8,-617,36,4,65
2037,10,0,-374,9,12,-607,35,2,40
2038,5,0,-445,9,8,-682,27,4,33
2039,5,0,-426,9,3,-645,31,4,83
2040,9,0,-415,7,8,-650,24,0,15
2041,11,0,-366,8,8,-555,37,2,23
2042,5,0,-386,10,6,-646,38,2,38
2043,2,0,-414,9,5,-627,37,3,68
2044,3,4,-223,8,13,-615,37,0,77
2045,6,0,-368,8,10,-599,22,3,68
2046,7,0,-357,9,20,-695,30,2,58

min.,,,,0,,,0
max.,,,,11,,,72
steps.,,,,12,,,10
decimals
