year,precipitation-winter,precipitation-spring,precipitation-summer,precipitation-fall
1987,56,182,183,149
1988,119,166,156,126
1989,61,72,69,133
1990,145,151,216,90
1991,57,208,101,95
1992,111,80,92,141
1993,127,130,219,132
1994,206,106,118,159
1995,136,169,178,57
1996,37,200,232,78
1997,86,193,168,127
1998,131,186,241,165
1999,113,190,114,149
2000,156,106,237,93
2001,97,147,428,145
2002,209,174,171,193
2003,78,109,167,121
2004,143,181,218,174
2005,125,151,166,158
2006,48,155,209,119
2007,216,253,242,94
2008,154,95,225,168
2009,85,183,160,161
2010,87,169,378,168
2011,85,117,257,81
2012,113,178,255,137
2013,135,173,161,90
2014,115,135,144,120
2015,111,73,109,145
2016,91,115,259,223
