year,annual-hydric-deficit
1987,-6
1988,-52
1989,-321
1990,-28
1991,-157
1992,-242
1993,-6
1994,-52
1995,-91
1996,-13
1997,-35
1998,142
1999,-71
2000,-47
2001,205
2002,76
2003,-188
2004,58
2005,-84
2006,-159
2007,117
2008,-48
2009,-84
2010,144
2011,-154
2012,10
2013,-96
2014,-197
2015,-299
2016,10
