year,hydric-deficit-winter,hydric-deficit-spring,hydric-deficit-summer,hydric-deficit-fall
1987,8,-51,-54,91
1988,68,-88,-100,68
1989,-14,-199,-195,87
1990,66,-112,-23,41
1991,-2,-23,-168,36
1992,51,-199,-193,99
1993,72,-157,-7,85
1994,155,-146,-169,108
1995,73,-83,-95,14
1996,-9,-43,4,35
1997,29,-48,-100,83
1998,73,-69,19,120
1999,57,-55,-174,100
2000,99,-198,15,38
2001,43,-101,177,85
2002,136,-93,-115,148
2003,19,-177,-101,72
2004,84,-83,-54,111
2005,62,-119,-127,100
2006,1,-117,-95,52
2007,134,-37,-17,38
2008,82,-194,-45,109
2009,32,-87,-137,108
2010,32,-86,86,112
2011,21,-192,-1,19
2012,42,-101,-15,85
2013,85,-109,-105,33
2014,43,-143,-163,66
2015,39,-212,-208,82
2016,30,-190,-7,176
