year,annual-hydric-deficit
1987,43
1988,31
1989,-207
1990,-74
1991,-146
1992,-161
1993,-254
1994,-338
1995,37
1996,-267
1997,-29
1998,-153
1999,-135
2000,-167
2001,-169
2002,39
2003,-510
2004,88
2005,181
2006,11
2007,-59
2008,82
2009,160
2010,168
2011,-121
2012,48
2013,107
2014,31
2015,-148
2016,180
