year,C1,C2,C3,C12,M1,M2,M8,Co2,Co3
,label C1,label C2-LCF,label C3,label C12,label M1-LCF,label M2,label M8,label Co2,label Co3
1987,28,19,-120,2,19,-147,42,33,191
1988,29,5,-58,3,16,-248,36,40,115
1989,17,29,-65,2,11,-178,44,22,121
1990,20,21,-97,3,27,-233,51,42,124
1991,15,30,-113,6,22,-327,61,26,112
1992,16,20,-61,5,5,-96,57,40,190
1993,20,33,-97,7,29,-324,60,32,134
1994,1,34,-148,7,23,-343,69,36,114
1995,12,35,-53,1,10,-152,42,28,117
1996,13,30,-82,3,4,-228,49,42,98
1997,4,27,-30,2,5,-161,56,21,160
1998,17,17,-28,3,12,-183,60,42,131
1999,6,20,-151,3,6,-331,68,31,113
2000,18,11,-154,3,7,-327,58,29,125
2001,9,15,-88,1,6,-146,50,27,90
2002,11,29,-45,2,11,-101,62,31,109
2003,14,27,-87,3,7,-139,52,24,163
2004,9,28,12,5,8,-234,63,19,88
2005,17,24,-40,1,11,-165,42,40,97
2006,8,21,9,1,14,-151,76,25,108
2007,10,22,-48,3,13,-109,47,31,137
2008,21,23,-14,5,20,-153,52,37,100
2009,9,37,-127,4,10,-296,54,40,96
2010,23,26,-71,1,12,-155,46,46,107
2011,10,15,-142,4,10,-166,72,17,170
2012,6,11,-42,5,14,-178,66,39,174
2013,18,40,-98,4,10,-171,49,33,156
2014,10,24,-74,5,22,-195,48,33,177
2015,10,15,-44,4,23,-129,73,31,159
2016,19,11,-62,5,9,-199,46,30,98
2016
2017,26,25,-141,4,9,-216,43,20,172
2018,17,22,-21,3,18,-107,70,26,132
2019,18,16,-63,2,3,-174,48,23,83
2020,12,23,-77,2,1,-159,56,15,147
2021,12,22,-82,3,6,-184,62,22,176
2022,30,9,-76,4,5,-192,45,23,137
2023,22,22,-112,3,17,-308,45,23,93
2024,13,7,-134,4,0,-265,46,16,213
2025,14,14,-25,1,7,-132,57,24,102
2026,23,10,-129,1,6,-224,52,23,108
2027,34,18,21,1,14,-156,36,7,132
2028,13,6,-97,2,22,-269,49,11,211
2029,14,8,-121,3,6,-281,45,7,73
2030,30,4,8,4,3,-124,60,19,162
2031,26,33,-41,6,11,-202,51,18,89
2032,22,25,-18,4,20,-198,50,8,96
2033,26,15,-108,4,10,-154,40,13,151
2034,15,18,14,1,25,-58,52,19,128
2035,21,19,-83,6,9,-225,41,16,59
2036,27,19,-46,4,11,-253,35,12,49
2037,24,13,-93,4,23,-197,37,8,201
2038,20,20,-113,2,10,-325,34,32,70
2039,13,16,17,1,21,-156,52,17,110
2040,24,15,-98,5,21,-164,50,8,133
2041,19,3,-110,4,7,-188,40,29,98
2042,28,15,-58,3,16,-252,47,23,97
2043,30,16,-129,3,19,-263,43,23,150
2044,19,12,-43,3,11,-177,52,28,106
2045,23,27,-79,4,14,-232,51,13,104
2046,26,9,-94,7,16,-279,49,28,65

min,,,,,,,10
max,,,,,,,90
steps,,,,,,,9
decimal
