year,annual-precipitations
1987,867
1988,555
1989,575
1990,833
1991,873
1992,704
1993,716
1994,734
1995,883
1996,904
1997,832
1998,870
1999,823
2000,821
2001,840
2002,1110
2003,623
2004,735
2005,784
2006,735
2007,790
2008,632
2009,899
2010,717
2011,722
2012,686
2013,656
2014,797
2015,668
2016,1006

min,300
max,2000
steps,10
decimal
