year,V1,V2,V3,V9
,label V1,label V2,label V3,label V9-LCF
1987,1556,11,-158,2
1988,1283,11,-91,8
1989,1283,9,-121,1
1990,1553,9,-97,1
1991,1319,10,-193,7
1992,1484,9,2,0
1993,1106,8,-104,1
1994,1585,9,-198,4
1995,1468,10,-104,0
1996,1400,11,-267,3
1997,1173,10,-124,6
1998,1371,9,-142,5
1999,1540,9,-150,1
2000,1528,10,-254,0
2001,1412,9,-199,0
2002,1391,10,-94,0
2003,1234,8,-26,3
2004,1442,10,-59,2
2005,1448,10,-99,3
2006,1297,12,-211,1
2007,1364,11,-62,0
2008,1295,10,-90,1
2009,1542,12,-111,0
2010,1427,10,8,5
2011,1230,10,-80,5
2012,1465,9,-111,4
2013,1269,9,-17,5
2014,1601,10,-75,2
2015,1170,8,-87,6
2016,1023,10,-30,7
2016
2017,1175,11,18,2
2018,1434,10,-90,9
2019,1392,10,-168,2
2020,1501,10,-141,5
2021,1634,11,-173,3
2022,1789,12,-187,2
2023,1643,11,-231,2
2024,1597,10,-220,9
2025,1576,10,-186,0
2026,1271,10,-239,4
2027,1806,12,-263,6
2028,1641,14,-171,4
2029,1446,12,-247,14
2030,1723,11,-391,2
2031,1636,11,-125,6
2032,1648,11,-169,0
2033,1380,10,-125,6
2034,1665,10,-92,7
2035,1868,12,-317,1
2036,1659,12,-193,1
2037,1592,8,-138,1
2038,1643,7,-40,0
2039,1682,9,-120,2
2040,1546,11,-106,3
2041,1683,9,-335,1
2042,1576,12,-81,5
2043,1629,11,-169,3
2044,1754,10,-8,2
2045,1332,10,-50,6
2046,1668,11,-117,0

min,,4
max,,17
steps,,8
decimal
