year,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10
1987,766,594,14,-158,135,9.3,3636,41,17.9,93
1988,814,536,127,-91,105,8.4,3209,18,16.5,117
1989,829,539,121,-121,137,9.1,3422,34,15.7,82
1990,875,576,150,-97,225,9.4,3583,33,17.3,91
1991,773,640,-85,-193,34,9.0,3453,35,16.7,96
1992,921,577,193,2,152,8.5,3438,40,17.3,95
1993,797,594,-29,-104,64,8.5,3225,8,14.6,92
1994,762,674,-107,-198,29,8.9,3493,53,16.5,118
1995,830,554,127,-104,149,9.1,3518,37,16.7,86
1996,759,656,-116,-267,73,8.8,3473,30,17.1,109
1997,814,610,-7,-124,40,8.6,3268,22,16.5,87
1998,728,555,38,-142,105,8.9,3372,33,16.4,94
1999,888,680,-43,-150,29,9.9,3701,41,17.2,75
2000,807,674,-75,-254,131,9.4,3553,33,16.9,83
2001,706,561,-14,-199,140,9.1,3482,29,15.9,82
2002,813,523,142,-94,163,9.2,3492,28,16.5,76
2003,880,531,196,-26,127,8.6,3263,20,15.7,101
2004,790,579,41,-59,71,9.5,3561,31,15.8,80
2005,881,585,134,-99,112,9.5,3573,28,16.2,76
2006,756,545,56,-211,188,9.0,3492,23,16.5,77
2007,795,546,82,-62,76,9.6,3638,33,16.7,60
2008,833,525,133,-90,187,8.9,3460,18,16.2,79
2009,804,582,59,-111,73,9.3,3661,42,17.9,89
2010,912,558,203,8,131,9.0,3452,28,16.9,93
2011,792,544,82,-80,61,8.3,3291,28,16.6,107
2012,805,581,66,-111,111,8.7,3381,41,16.4,110
2013,1088,554,385,-17,282,8.2,3227,22,15.5,112
2014,865,596,115,-75,98,9.7,3683,45,17.1,83
2015,836,529,159,-87,153,7.9,3068,31,14.8,117
2016,830,510,173,-30,116,8.2,3132,15,15.3,87
2016
2017,853,496,201,18,116,9.2,3436,12,15.9,70
2018,785,566,65,-90,139,10.1,3702,31,17.1,55
2019,731,572,1,-168,98,9.3,3550,32,16.9,91
2020,688,564,-34,-141,58,9.5,3628,53,17.8,92
2021,951,672,73,-173,139,10.4,3940,55,18.3,78
2022,714,593,-40,-187,92,11.1,4131,49,18.5,61
2023,866,711,-100,-231,112,11.0,4067,59,18.3,61
2024,842,683,-45,-220,119,9.8,3677,62,18.8,93
2025,755,580,6,-186,124,10.1,3874,36,17.2,73
2026,711,643,-155,-239,54,8.8,3355,33,17.3,82
2027,702,676,-236,-263,-4,11.6,4354,67,18.9,61
2028,805,574,61,-171,175,10.6,3945,42,17.8,60
2029,788,678,-133,-247,46,10.3,3823,46,17.5,74
2030,683,722,-261,-391,128,10.5,3953,63,18.0,71
2031,812,557,87,-125,133,10.8,4002,40,17.8,62
2032,866,599,90,-169,180,10.8,3960,51,18.1,57
2033,760,550,49,-125,98,9.1,3417,32,17.6,101
2034,913,617,115,-92,118,10.5,3931,53,17.7,74
2035,688,639,-107,-317,105,10.7,4012,68,18.8,75
2036,923,614,156,-193,219,9.4,3593,44,18.2,105
2037,800,599,35,-138,105,10.0,3703,56,17.4,82
2038,946,591,179,-40,130,10.8,3992,38,16.5,53
2039,792,592,43,-120,103,10.2,3777,58,17.3,84
2040,934,567,200,-106,236,9.9,3725,47,18.6,87
2041,643,612,-128,-335,138,9.7,3694,62,18.5,97
2042,788,561,64,-81,111,10.4,3826,38,17.4,68
2043,716,601,-52,-169,108,9.9,3759,46,17.6,86
2044,954,602,167,-8,132,11.1,4119,50,17.5,57
2045,880,562,162,-50,86,8.7,3329,27,16.6,104
2046,886,599,112,-117,176,11.1,4076,48,17.7,46
