year,hydric-deficit-winter,hydric-deficit-spring,hydric-deficit-summer,hydric-deficit-fall
1987,96,20,-82,94
1988,87,-220,-152,44
1989,-60,-144,-69,80
1990,46,-31,-128,138
1991,-7,95,-72,87
1992,40,-212,-153,189
1993,43,-182,9,105
1994,74,-20,-189,107
1995,133,-30,-19,95
1996,10,103,-11,124
1997,65,-101,23,98
1998,16,-112,81,139
1999,118,-12,-45,92
2000,180,-184,-55,128
2001,103,-83,-2,97
2002,106,-214,186,222
2003,25,-189,-160,85
2004,102,-40,-75,56
2005,92,-50,40,6
2006,131,-68,-63,21
2007,64,-215,70,94
2008,34,-110,-58,43
2009,94,47,-32,77
2010,5,15,-40,27
2011,16,-132,-31,75
2012,8,-118,-34,38
2013,51,-32,-143,23
2014,-56,-48,53,89
2015,43,-14,-222,70
2016,86,92,38,82
