year,C1,C2,C3,C12,M1,M2,M8,Co2,Co3
,label C1,label C2-LCF,label C3,label C12,label M1-LCF,label M2,label M8,label Co2,label Co3
1987,10,32,-90.54,3,12,-138.22,52,35,177
1988,5,17,-40,3,3,-15,57,42,120
1989,19,16,-110,2,2,-84,51,43,139
1990,10,25,-25,3,14,-59,49,30,149
1991,13,28,-92,4,4,-120,62,31,166
1992,14,36,-19,2,11,23,54,37,201
1993,4,31,-26,3,0,-33,62,28,140
1994,30,33,-142,4,15,-153,38,43,195
1995,19,19,-14,2,5,-77,49,45,171
1996,7,22,-132,2,9,-200,62,53,105
1997,5,21,-92,2,6,-64,63,31,163
1998,13,20,-69,3,8,-124,54,21,127
1999,11,19,-56,0,6,-44,52,17,131
2000,14,21,-140,4,11,-227,48,34,167
2001,13,13,-102,3,5,-164,48,42,154
2002,22,15,-54,2,3,-47,60,39,112
2003,6,23,23,1,5,0,61,36,122
2004,17,19,-72,2,2,-56,50,31,228
2005,12,20,-29,2,3,-48,48,27,114
2006,8,31,-45,1,1,-113,65,28,72
2007,10,9,0,0,6,0,63,29,112
2008,11,21,-25,2,5,-33,64,33,184
2009,10,30,-41,2,8,-91,58,33,191
2010,12,23,-55,0,1,37,51,33,181
2011,9,48,-26,2,3,-26,63,31,111
2012,19,35,-45,3,11,-71,42,39,175
2013,11,29,-112,2,4,21,53,42,184
2014,23,19,-14,3,9,-68,48,31,196
2015,16,31,-23,3,5,-118,57,45,135
2016,5,18,22,1,1,14,73,34,109
2016
2017,9,19,-51,2,1,16,71,23,195
2018,14,10,-86,3,2,-125,51,20,127
2019,17,19,-102,6,9,-180,56,30,153
2020,17,34,-52,4,16,-124,53,24,68
2021,12,20,-171,3,16,-85,47,29,157
2022,15,17,-53,4,5,-144,39,12,114
2023,31,17,-122,3,20,-220,51,13,197
2024,30,23,-82,2,20,-160,48,19,133
2025,15,13,3,4,11,-116,51,38,97
2026,10,17,-68,3,11,-187,73,41,143
2027,29,22,-75,4,13,-154,40,12,83
2028,14,6,-92,3,5,-137,40,29,163
2029,20,19,-94,3,7,-225,46,20,148
2030,28,18,-168,5,10,-297,37,23,139
2031,25,14,1,1,3,-106,42,12,73
2032,29,7,-105,3,15,-191,48,18,182
2033,11,24,-79,3,4,-137,66,32,130
2034,25,21,-98,1,13,-108,34,18,216
2035,35,13,-145,4,8,-243,46,31,91
2036,25,31,-137,5,11,-142,46,37,134
2037,22,16,-138,3,23,-115,53,24,111
2038,18,14,-86,2,13,-65,31,11,225
2039,26,13,6,4,9,-119,36,26,100
2040,21,20,-61,3,20,-111,61,34,162
2041,36,18,-149,3,23,-277,51,44,62
2042,18,5,-66,3,3,-97,50,25,163
2043,30,13,-91,3,4,-143,52,39,94
2044,31,6,18,0,8,-27,34,26,165
2045,16,34,19,6,1,-79,52,33,67
2046,23,13,-119,5,9,-120,47,10,246
