year,annual-hydric-deficit
1987,127
1988,-240
1989,-193
1990,25
1991,103
1992,-137
1993,-24
1994,-28
1995,180
1996,226
1997,85
1998,124
1999,153
2000,69
2001,115
2002,299
2003,-239
2004,44
2005,88
2006,21
2007,13
2008,-93
2009,187
2010,7
2011,-71
2012,-105
2013,-101
2014,39
2015,-123
2016,297
