year,F1,F3,M4
,label F1,label F3,label M4-LCF
1987,78,132,0
1988,87,147,0
1989,69,136,0
1990,88,133,0
1991,79,139,0
1992,86,138,0
1993,88,138,0
1994,95,141,0
1995,74,137,0
1996,70,138,0
1997,78,144,0
1998,9,147,0
1999,85,135,0
2000,73,133,0
2001,63,127,0
2002,59,129,0
2003,88,143,0
2004,69,137,0
2005,69,131,0
2006,80,140,0
2007,55,134,0
2008,73,131,0
2009,82,135,0
2010,84,135,0
2011,89,145,0
2012,85,138,0
2013,91,144,0
2014,77,131,0
2015,87,145,0
2016,77,149,0
2016
2017,50,144,0
2018,36,140,0
2019,83,146,0
2020,91,145,1
2021,73,131,0
2022,55,136,0
2023,70,127,0
2024,95,151,0
2025,41,125,0
2026,56,136,0
2027,64,118,0
2028,61,126,0
2029,48,145,0
2030,62,126,0
2031,65,133,1
2032,58,130,0
2033,90,149,0
2034,77,133,0
2035,77,132,0
2036,96,144,0
2037,70,132,0
2038,63,117,0
2039,86,137,0
2040,75,136,0
2041,73,142,0
2042,48,135,0
2043,63,135,0
2044,59,119,0
2045,90,146,1
2046,65,128,0
