year,precipitation-winter,precipitation-spring,precipitation-summer,precipitation-fall
1987,159,311,224,173
1988,162,119,159,115
1989,30,162,234,149
1990,150,279,196,209
1991,77,383,246,167
1992,130,128,194,252
1993,116,141,292,167
1994,159,266,136,174
1995,215,236,281,152
1996,75,389,253,186
1997,141,208,317,166
1998,105,204,365,195
1999,182,263,229,149
2000,249,139,242,192
2001,177,210,292,161
2002,199,122,501,287
2003,105,172,200,145
2004,175,236,211,113
2005,161,244,310,68
2006,187,218,246,84
2007,152,132,354,152
2008,117,189,222,104
2009,158,350,259,132
2010,84,287,258,89
2011,99,204,271,147
2012,103,210,272,100
2013,118,252,195,91
2014,42,259,339,158
2015,129,277,125,136
2016,167,377,327,135
