year,C1,C2,C3,C12,M1,M2,M8,Co2,Co3
,label C1,label C2-LCF,label C3,label C12,label M1-LCF,label M2,label M8,label Co2,label Co3
1987,16,5,-57,4,24,-217,64,34,135
1988,37,25,-77,4,5,-221,32,24,60
1989,23,16,-125,4,27,-290,47,21,180
1990,21,5,-154,6,13,-322,34,8,102
1991,32,20,-112,1,27,-192,48,25,219
1992,19,19,-114,7,28,-318,48,31,119
1993,15,12,-147,3,8,-294,48,22,161
1994,13,27,-161,4,15,-365,53,38,115
1995,21,21,-92,2,12,-214,40,31,157
1996,13,18,-132,5,18,-266,38,17,162
1997,13,10,-50,0,9,-200,62,27,84
1998,15,23,-100,4,9,-195,54,27,141
1999,14,17,-46,3,20,-277,55,21,112
2000,18,10,-53,5,24,-250,49,18,75
2001,24,11,-105,5,29,-254,36,24,121
2002,25,11,-54,2,4,-122,41,30,139
2003,15,22,-120,7,10,-239,52,27,81
2004,26,13,-119,3,26,-292,47,26,83
2005,12,22,-18,2,20,-143,47,29,63
2006,14,28,-62,2,14,-180,65,26,122
2007,41,16,-126,4,9,-211,33,45,177
2008,21,15,-121,3,15,-202,46,25,92
2009,23,12,-44,4,17,-152,45,29,149
2010,13,19,-123,4,16,-257,50,38,166
2011,4,13,-111,1,21,-178,59,25,146
2012,32,20,-142,4,20,-258,40,34,196
2013,29,34,-97,5,20,-229,36,39,123
2014,8,9,-97,2,31,-220,38,40,138
2015,15,20,-70,8,20,-261,49,26,109
2016,10,18,-44,2,19,-193,49,17,61
2016
2017,25,21,-150,2,20,-283,41,22,136
2018,25,3,-81,4,39,-266,53,9,165
2019,38,27,-129,5,11,-234,21,16,181
2020,29,14,-97,6,23,-335,44,9,82
2021,23,20,-138,3,37,-382,34,22,102
2022,20,5,-107,3,27,-280,43,18,131
2023,30,11,-185,5,23,-435,46,39,76
2024,12,16,-96,4,15,-301,29,25,92
2025,40,6,-132,1,35,-230,24,10,127
2026,30,8,-160,3,20,-343,31,4,134
2027,36,16,-152,8,52,-422,27,16,121
2028,40,10,-75,5,27,-263,45,20,93
2029,30,14,-170,5,20,-401,28,19,73
2030,34,18,-125,3,25,-350,37,19,105
2031,27,19,-90,5,34,-257,37,26,134
2032,24,1,-79,4,24,-305,47,24,122
2033,25,16,-75,4,24,-315,35,16,63
2034,23,18,-53,4,20,-230,51,13,129
2035,27,4,-102,3,17,-242,44,19,182
2036,14,14,-99,6,32,-341,50,8,115
2037,23,7,-41,3,25,-191,44,25,84
2038,22,19,-24,4,16,-165,51,23,99
2039,13,16,-51,3,26,-244,47,24,93
2040,35,16,-90,2,24,-239,30,11,124
2041,28,22,-131,2,23,-299,47,12,79
2042,28,23,-112,6,32,-326,34,19,45
2043,26,12,-134,7,15,-257,59,18,132
2044,27,8,-44,7,24,-169,46,20,184
2045,32,10,-67,2,24,-230,40,16,110
2046,36,13,-102,4,26,-273,33,14,144
