year,A1,A2,A3
,label A1,label A2,label A3
1987,34,2895,211
1988,38,2620,257
1989,42,2651,284
1990,31,2244,194
1991,37,2700,261
1992,46,2856,253
1993,10,2567,140
1994,17,2846,141
1995,26,2705,167
1996,31,2445,223
1997,12,2607,126
1998,19,2810,147
1999,23,2845,194
2000,25,2612,205
2001,39,2606,270
2002,13,2778,146
2003,22,2950,150
2004,38,2577,253
2005,28,2878,195
2006,23,2845,183
2007,32,2692,230
2008,32,2663,201
2009,31,2784,210
2010,20,2958,131
2011,27,2614,161
2012,36,2800,274
2013,32,2938,206
2014,33,2640,234
2015,31,2843,198
2016,29,2460,178
2016
2017,43,2644,292
2018,54,2118,358
2019,28,2547,234
2020,45,2352,272
2021,52,2636,410
2022,46,2322,282
2023,32,2523,282
2024,21,2478,172
2025,73,2202,484
2026,35,2359,272
2027,65,2453,509
2028,59,2416,375
2029,30,2575,253
2030,42,2707,339
2031,56,2614,360
2032,44,2293,305
2033,45,2584,324
2034,46,2534,257
2035,37,2419,287
2036,49,2184,329
2037,41,2315,290
2038,35,2795,233
2039,34,2494,257
2040,62,2360,354
2041,51,2530,330
2042,58,2489,391
2043,44,2628,276
2044,37,2594,258
2045,54,2352,355
2046,55,2420,408

min,,2000
max,,4000
steps,,9
decimal
