year,hydric-deficit-winter,hydric-deficit-spring,hydric-deficit-summer,hydric-deficit-fall
1987,37,-55,145,7
1988,36,-159,-61,24
1989,-41,-178,-186,-26
1990,-76,-223,-261,52
1991,-49,-202,-240,-23
1992,-59,-198,-250,-10
1993,-72,-238,-179,-12
1994,-50,-237,-209,-15
1995,-9,-26,-99,-4
1996,-17,-25,-43,8
1997,3,-179,-80,22
1998,-57,-242,-163,28
1999,-9,-169,-238,-2
2000,7,-251,-127,34
2001,37,-215,-111,5
2002,-21,-80,60,98
2003,-63,-278,-279,-21
2004,-19,-128,-170,37
2005,-21,-192,-153,13
2006,-1,-165,-252,-8
2007,-4,-236,-71,14
2008,-25,-132,-161,49
2009,19,-102,-196,76
2010,-3,-144,-20,103
2011,-40,-220,-93,5
2012,-26,-157,-97,87
2013,21,-48,-169,22
2014,-53,-149,18,35
2015,-3,-112,-223,49
2016,-6,-141,-156,19
