year,average-temperature-winter,average-temperature-spring,average-temperature-summer,average-temperature-fall
1987,-2.8,12.0,16.9,5.4
1988,2.5,13.2,17.0,4.9
1989,3.6,12.8,17.4,4.7
1990,4.1,13.0,16.6,4.9
1991,1.9,10.9,17.8,4.0
1992,3.1,13.4,18.3,4.3
1993,0.8,13.8,15.8,3.9
1994,2.8,12.6,18.0,5.2
1995,2.7,12.0,17.5,4.1
1996,-1.8,12.2,14.9,3.9
1997,2.2,11.9,17.1,4.6
1998,3.4,15.1,17.5,4.3
1999,3.1,13.9,18.7,4.8
2000,3.1,15.0,16.9,6.3
2001,1.8,13.0,17.7,5.2
2002,3.7,14.5,18.4,4.4
2003,1.5,15.2,19.2,4.1
2004,1.4,12.6,17.1,4.8
2005,0.9,13.4,17.2,4.6
2006,-1.2,13.5,19.1,7.0
2007,5.3,15.5,17.0,4.0
2008,3.8,13.7,17.0,5.2
2009,0.9,14.3,18.3,4.8
2010,-0.3,12.9,17.4,2.6
2011,1.7,14.6,17.3,5.4
2012,2.4,13.7,17.5,4.2
2013,0.1,12.7,17.5,5.4
2014,3.7,13.8,17.5,6.9
2015,3.2,13.0,18.7,7.4
2016,3.3,14.0,18.8,5.0
