year,annual-average-temperature
1987,7.9
1988,9.4
1989,9.7
1990,9.7
1991,8.7
1992,9.8
1993,8.6
1994,9.7
1995,9.1
1996,7.3
1997,9.0
1998,10.1
1999,10.2
2000,10.3
2001,9.5
2002,10.3
2003,10.1
2004,9.0
2005,9.1
2006,9.7
2007,10.5
2008,9.9
2009,9.6
2010,8.2
2011,9.8
2012,9.5
2013,9.0
2014,10.5
2015,10.6
2016,10.3

min,6
max,14
steps,9
decimal
