year,precipitation-winter,precipitation-spring,precipitation-summer,precipitation-fall
1987,92,201,415,77
1988,111,137,232,94
1989,45,128,115,43
1990,26,83,68,127
1991,28,58,60,49
1992,29,115,74,62
1993,14,84,122,58
1994,47,75,122,59
1995,84,215,198,53
1996,39,230,195,69
1997,81,102,206,93
1998,57,110,163,115
1999,90,142,108,79
2000,104,97,160,96
2001,110,85,218,81
2002,87,242,381,171
2003,39,99,107,50
2004,74,144,145,97
2005,57,112,142,71
2006,58,140,88,61
2007,94,112,228,69
2008,62,148,127,99
2009,74,179,113,142
2010,71,124,264,166
2011,50,119,199,75
2012,74,134,200,142
2013,87,201,148,84
2014,36,147,304,94
2015,86,164,141,114
2016,74,150,167,74
