year,annual-frozen-days
1987,117
1988,105
1989,95
1990,97
1991,122
1992,101
1993,106
1994,83
1995,111
1996,140
1997,110
1998,94
1999,95
2000,71
2001,97
2002,73
2003,119
2004,123
2005,103
2006,92
2007,57
2008,77
2009,86
2010,110
2011,83
2012,80
2013,99
2014,57
2015,84
2016,75
