year,annual-hydric-deficit
1987,231
1988,191
1989,131
1990,-380
1991,-417
1992,56
1993,115
1994,282
1995,104
1996,44
1997,-75
1998,265
1999,145
2000,164
2001,152
2002,236
2003,-230
2004,131
2005,-81
2006,-109
2007,95
2008,-109
2009,27
2010,76
2011,-133
2012,-93
2013,33
2014,-56
2015,-208
2016,-33
