year,C1,C2,C3,C12,M1,M2,M8,Co2,Co3
,label C1,label C2-LCF,label C3,label C12,label M1-LCF,label M2,label M8,label Co2,label Co3
1987,4,34,-80,5,3,-183,65,54,80
1988,24,35,-138,1,7,-234,50,38,78
1989,5,33,-125,2,5,-154,47,44,174
1990,16,23,-62,2,2,-23,53,51,237
1991,12,43,-74,0,2,-140,51,35,152
1992,19,32,-100,2,14,-74,65,40,182
1993,8,9,-129,7,3,-213,70,51,242
1994,10,33,-111,1,0,-159,53,49,127
1995,6,41,-83,4,8,-167,58,37,187
1996,7,35,-79,3,6,-180,65,45,182
1997,3,63,-91,4,8,-122,65,36,231
1998,9,35,-20,2,14,-92,52,28,149
1999,6,48,-234,3,5,-248,42,33,168
2000,30,42,-67,5,16,-301,61,49,88
2001,4,34,-55,6,0,-175,69,42,103
2002,22,47,-104,5,4,-159,47,48,179
2003,13,55,-69,2,3,-85,55,54,141
2004,4,36,-72,0,8,-85,58,47,150
2005,8,34,-98,4,6,-132,64,54,165
2006,12,43,-128,4,16,-204,53,44,149
2007,6,32,-82,4,8,-173,65,53,154
2008,6,33,2,3,6,-55,65,48,210
2009,16,41,-93,2,8,-133,56,46,231
2010,7,32,-37,4,3,-134,65,45,121
2011,5,33,-64,3,6,-133,80,52,123
2012,2,40,-102,5,4,-190,69,44,218
2013,7,18,-61,2,7,-144,55,50,105
2014,9,16,-46,2,1,-90,69,41,162
2015,11,27,-30,4,11,-173,74,39,174
2016,5,32,-62,1,8,-183,70,41,155
2016
2017,19,40,-42,2,13,-112,57,41,177
2018,18,25,-77,2,8,-147,51,40,95
2019,34,34,12,3,20,-93,38,36,88
2020,14,32,-72,2,9,-162,77,33,132
2021,13,23,-24,2,10,-182,56,18,83
2022,27,24,-133,5,12,-185,52,21,177
2023,18,28,-141,5,7,-291,66,35,75
2024,17,29,-111,4,16,-308,65,26,63
2025,13,24,-57,2,9,-171,63,28,31
2026,25,33,-105,4,2,-255,48,44,123
2027,15,30,-133,3,5,-268,54,21,90
2028,12,30,-74,3,8,-234,60,22,80
2029,24,14,-163,6,8,-338,56,33,115
2030,19,33,-160,3,18,-339,57,35,87
2031,12,29,-33,3,21,-115,63,30,110
2032,18,34,-131,3,12,-289,60,37,66
2033,19,43,-32,4,5,-171,60,22,82
2034,23,31,-114,4,8,-153,52,31,131
2035,13,22,-51,1,2,-72,44,25,99
2036,9,20,35,5,3,-87,66,26,151
2037,16,20,45,4,7,-76,60,28,74
2038,21,39,-59,5,8,-179,41,28,115
2039,23,21,-72,4,12,-258,55,35,48
2040,22,22,-78,1,18,-219,53,28,67
2041,12,23,-39,4,13,-51,64,34,177
2042,23,31,-113,5,5,-154,70,26,131
2043,22,22,8,0,16,-56,61,31,113
2044,4,30,-79,3,10,-187,72,34,101
2045,8,33,-65,2,5,-142,68,27,100
2046,10,6,-75,3,2,-168,60,28,136

min,,,,,,,10
max,,,,,,,90
steps,,,,,,,9
decimal
