year,hydric-deficit-winter,hydric-deficit-spring,hydric-deficit-summer,hydric-deficit-fall
1987,147,23,-18,78
1988,255,-163,-94,193
1989,65,-52,-43,160
1990,-26,-177,-198,21
1991,-31,-165,-214,-7
1992,92,-156,-15,135
1993,84,-133,-45,209
1994,126,53,-56,159
1995,28,8,-1,68
1996,6,-93,47,84
1997,62,-138,-63,65
1998,53,-131,78,265
1999,119,-57,-67,150
2000,163,-157,53,105
2001,154,-90,-32,120
2002,161,-118,-68,261
2003,55,-170,-185,70
2004,76,-17,-46,118
2005,55,-144,-25,33
2006,48,-107,-98,48
2007,29,-91,95,63
2008,5,-95,-108,89
2009,52,-42,-122,139
2010,10,-116,36,146
2011,-2,-107,-89,65
2012,24,-114,-98,96
2013,79,75,-150,29
2014,-44,-129,64,53
2015,3,-138,-150,77
2016,55,-79,-63,53
