year,average-temperature-winter,average-temperature-spring,average-temperature-summer,average-temperature-fall
1987,-0.3,15.2,20.6,7.0
1988,4.3,15.0,21.1,5.0
1989,4.8,15.2,20.3,7.0
1990,6.3,15.9,19.3,6.6
1991,2.9,14.4,20.6,5.3
1992,4.4,16.2,22.1,6.4
1993,1.8,16.4,20.2,5.6
1994,5.0,15.8,22.4,6.9
1995,4.2,15.1,20.3,6.0
1996,-0.6,16.5,17.7,6.7
1997,3.2,14.8,19.6,6.1
1998,5.4,16.5,20.0,4.7
1999,3.3,16.1,20.6,5.8
2000,3.7,17.8,20.7,9.5
2001,5.6,15.8,19.9,5.2
2002,5.3,17.2,20.2,7.4
2003,0.9,18.4,21.7,6.6
2004,2.4,15.3,19.6,7.4
2005,1.5,15.7,19.3,6.1
2006,1.4,16.3,20.3,8.6
2007,7.1,18.1,20.5,5.1
2008,4.9,16.9,19.9,8.2
2009,2.6,17.2,21.9,7.8
2010,2.3,16.0,19.9,6.2
2011,3.0,17.2,21.9,5.9
2012,3.1,17.0,22.7,7.4
2013,2.9,16.2,20.9,8.0
2014,6.2,16.4,20.0,8.6
2015,4.3,16.4,22.1,7.7
2016,5.3,16.9,21.2,5.8
