year,annual-frozen-days
1987,82
1988,80
1989,70
1990,51
1991,80
1992,57
1993,92
1994,51
1995,75
1996,99
1997,93
1998,84
1999,79
2000,67
2001,78
2002,54
2003,90
2004,72
2005,93
2006,74
2007,43
2008,46
2009,54
2010,80
2011,86
2012,66
2013,68
2014,30
2015,48
2016,56
