year,hydric-deficit-winter,hydric-deficit-spring,hydric-deficit-summer,hydric-deficit-fall
1987,45,-76,-182,14
1988,19,-173,-300,6
1989,-21,-6,-160,-22
1990,-59,-211,-253,30
1991,-20,-203,-95,90
1992,-55,-133,-295,192
1993,-12,-245,-173,196
1994,-36,-117,-189,47
1995,50,-46,-27,68
1996,-13,-182,-26,58
1997,-45,-183,-164,71
1998,-76,-131,-73,85
1999,4,-26,-186,107
2000,-82,-259,-279,8
2001,31,-179,-146,-7
2002,-70,-118,-88,21
2003,-66,-338,-245,95
2004,23,-19,-121,105
2005,2,-187,27,25
2006,22,-89,-187,-8
2007,16,-301,-231,138
2008,-33,-186,-227,10
2009,22,-184,-354,107
2010,45,79,-112,119
2011,-54,-304,-237,18
2012,-77,-112,-364,124
2013,116,-135,-211,-18
2014,15,-53,-25,98
2015,1,-164,-259,33
2016,49,-163,-131,36
