year,C1,C2,C3,C12,M1,M2,M8,Co2,Co3
,label C1,label C2-LCF,label C3,label C12,label M1-LCF,label M2,label M8,label Co2,label Co3
1987,35,10,-129,9,44,-415,26,37,69
1988,19,24,-121,7,30,-389,26,22,69
1989,37,10,-134,8,25,-400,50,25,73
1990,25,26,-166,8,25,-458,34,32,59
1991,32,34,-176,6,24,-454,24,39,50
1992,32,30,-211,6,19,-407,29,29,61
1993,48,36,-219,6,17,-538,33,28,32
1994,43,4,-270,9,10,-536,40,30,58
1995,41,10,-237,8,25,-504,29,30,29
1996,36,25,-249,10,21,-538,34,35,39
1997,36,29,-276,8,16,-522,31,12,49
1998,23,15,-125,6,25,-350,27,32,80
1999,37,35,-164,8,21,-402,34,38,16
2000,31,9,-188,6,25,-484,49,30,36
2001,40,19,-155,6,19,-348,27,19,88
2002,36,38,-166,7,34,-468,23,30,44
2003,20,45,-146,6,10,-397,48,30,11
2004,27,25,-195,6,32,-467,28,44,46
2005,23,17,-195,6,10,-461,37,25,54
2006,39,27,-228,9,25,-487,27,15,84
2007,44,13,-79,4,15,-288,38,27,111
2008,43,30,-176,7,19,-358,44,41,62
2009,45,28,-221,7,6,-455,29,37,44
2010,41,21,-154,7,15,-420,20,20,28
2011,32,34,-210,4,31,-484,16,28,49
2012,30,25,-208,7,21,-485,36,32,69
2013,45,24,-148,8,34,-429,35,40,23
2014,23,30,-173,6,26,-377,43,27,102
2015,33,26,-110,8,27,-375,39,17,41
2016,35,11,-213,8,48,-527,25,46,34
2016
2017,48,4,-181,8,57,-522,36,34,75
2018,28,12,-198,8,39,-477,34,31,75
2019,40,4,-237,7,29,-505,21,17,33
2020,44,34,-109,5,47,-391,24,23,66
2021,38,14,-204,5,37,-513,37,15,123
2022,38,18,-234,8,15,-471,30,23,102
2023,41,17,-146,7,46,-448,22,32,50
2024,37,20,-206,8,50,-567,32,21,20
2025,45,19,-123,7,38,-402,29,21,48
2026,46,25,-231,8,39,-574,28,18,47
2027,39,14,-202,8,38,-572,38,27,8
2028,41,23,-217,9,22,-487,29,25,62
2029,39,11,-196,6,24,-503,28,8,72
2030,46,15,-263,10,29,-585,25,30,37
2031,34,17,-81,8,44,-351,39,15,91
2032,34,28,-180,9,35,-456,30,24,69
2033,49,21,-248,6,34,-520,16,16,80
2034,23,13,-141,9,30,-419,28,24,64
2035,51,20,-202,9,34,-455,23,25,86
2036,28,13,-175,9,43,-489,46,17,11
2037,38,8,-206,7,51,-538,32,29,96
2038,32,23,-127,6,23,-387,47,18,40
2039,40,13,-247,10,30,-551,23,28,17
2040,43,18,-289,10,17,-563,24,20,46
2041,45,7,-279,10,32,-547,34,22,73
2042,30,24,-173,5,33,-442,29,23,30
2043,42,17,-218,10,27,-494,32,12,59
2044,45,7,-179,7,45,-496,21,13,41
2045,42,7,-133,8,29,-369,19,15,99
2046,26,21,-196,7,32,-411,23,21,16

min,,,,,,,10
max,,,,,,,90
steps,,,,,,,9
decimal
