year,annual-precipitations
1987,660
1988,499
1989,687
1990,475
1991,616
1992,710
1993,714
1994,666
1995,873
1996,628
1997,550
1998,733
1999,792
2000,457
2001,645
2002,698
2003,484
2004,813
2005,700
2006,608
2007,611
2008,530
2009,579
2010,955
2011,409
2012,632
2013,680
2014,898
2015,593
2016,705
