year,precipitation-winter,precipitation-spring,precipitation-summer,precipitation-fall
1987,126,254,172,108
1988,127,163,104,104
1989,88,321,199,79
1990,83,140,130,123
1991,73,128,241,174
1992,67,244,119,279
1993,85,123,226,280
1994,92,242,199,133
1995,153,256,317,147
1996,57,161,270,140
1997,61,160,175,154
1998,59,216,292,166
1999,115,311,172,195
2000,45,160,134,119
2001,155,193,209,88
2002,62,252,263,121
2003,42,84,165,193
2004,115,285,227,186
2005,94,158,335,112
2006,107,244,166,91
2007,139,93,162,217
2008,90,175,153,112
2009,123,187,69,201
2010,134,390,233,198
2011,41,86,177,105
2012,58,267,96,210
2013,195,209,200,75
2014,125,282,304,186
2015,107,223,146,117
2016,154,195,243,113
