year,A1,A2,A3
,label A1,label A2,label A3
1987,10,2965,83
1988,7,2899,68
1989,18,2758,116
1990,10,2654,73
1991,17,3028,141
1992,16,3047,128
1993,15,2937,133
1994,16,2832,135
1995,11,2944,79
1996,7,2932,72
1997,3,3141,48
1998,18,3089,118
1999,9,2751,99
2000,19,2636,196
2001,32,2993,228
2002,21,2805,147
2003,8,3046,97
2004,19,3017,139
2005,24,2623,149
2006,4,2963,62
2007,16,2857,113
2008,16,2913,126
2009,21,3118,145
2010,18,2964,129
2011,20,2790,141
2012,17,2920,140
2013,19,2888,133
2014,13,2622,113
2015,10,2691,91
2016,14,2951,86
2016
2017,33,2581,190
2018,55,2418,335
2019,48,2600,307
2020,29,2333,201
2021,33,2566,288
2022,48,2643,323
2023,31,2269,202
2024,43,2562,328
2025,47,2351,285
2026,34,2524,261
2027,45,2471,332
2028,20,2402,134
2029,23,2780,186
2030,32,2885,255
2031,53,2528,289
2032,17,2614,150
2033,45,2722,310
2034,33,2633,264
2035,32,2389,237
2036,30,2679,207
2037,32,2708,206
2038,39,2832,262
2039,30,2229,211
2040,16,2552,126
2041,29,2274,215
2042,46,2584,292
2043,26,2625,168
2044,44,2412,303
2045,25,2791,170
2046,43,2453,244
