year,annual-hydric-deficit
1987,167
1988,81
1989,-112
1990,-143
1991,-212
1992,-29
1993,29
1994,-108
1995,97
1996,-58
1997,-153
1998,-190
1999,74
2000,-102
2001,-6
2002,-156
2003,-503
2004,-69
2005,-282
2006,-126
2007,-50
2008,46
2009,-144
2010,28
2011,-183
2012,-81
2013,250
2014,44
2015,-276
2016,114
