year,precipitation-winter,precipitation-spring,precipitation-summer,precipitation-fall
1987,113,276,234,209
1988,258,259,169,161
1989,81,253,194,146
1990,138,223,105,249
1991,144,113,239,133
1992,72,225,193,257
1993,38,302,176,304
1994,164,189,203,128
1995,241,253,232,162
1996,141,162,134,325
1997,107,178,196,212
1998,131,228,153,147
1999,163,253,260,223
2000,112,147,183,290
2001,251,178,191,178
2002,116,147,171,277
2003,97,96,95,216
2004,161,144,188,280
2005,93,211,108,183
2006,230,207,143,131
2007,192,179,264,133
2008,149,259,209,204
2009,133,209,166,207
2010,146,224,208,264
2011,95,114,232,228
2012,99,255,192,219
2013,150,348,224,255
2014,184,95,228,308
2015,120,150,174,112
2016,200,343,123,176
