year,hydric-deficit-winter,hydric-deficit-spring,hydric-deficit-summer,hydric-deficit-fall
1987,45,26,-59,155
1988,172,-13,-177,98
1989,-5,-51,-133,77
1990,39,-76,-277,171
1991,57,-195,-144,70
1992,-12,-84,-137,204
1993,-55,14,-159,229
1994,61,-94,-130,55
1995,142,-32,-104,91
1996,49,-153,-207,253
1997,5,-148,-137,127
1998,20,-84,-198,72
1999,64,-38,-95,143
2000,13,-181,-144,210
2001,151,-121,-135,99
2002,1,-193,-160,195
2003,-27,-278,-340,142
2004,55,-181,-149,205
2005,-1,-121,-260,100
2006,148,-103,-219,48
2007,91,-153,-37,48
2008,45,-26,-102,129
2009,35,-121,-184,127
2010,48,-89,-113,181
2011,-5,-243,-87,152
2012,-27,-40,-152,138
2013,75,97,-102,180
2014,78,-230,-44,240
2015,33,-170,-185,45
2016,106,96,-202,114
