year,winter-soft-wheat,winter-barley,triticale,maize-for-grain,other-cereal,winter-rapeseed,sunflower,soybean,spring-field-peas,broad-bean,vineyards,maize-silage,temporary-grasslands,permanent-grasslands
,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,Hl-ha,100-kg-ha,100-kg-ha,100-kg-ha
2000,77,73,54,101,45,33,34,30,47,,55,100,81,53
2001,64,65,48,91,45,26,27,29,40,,51,90,85,50
2002,70,71,52,94,45,31,32,28,46,30,52,70,38,28
2003,49,47,34,56,30,28,27,19,37,10,34,40,31,21
2004,75,72,58,103,45,38,32,28,54,40,51,100,74,63
2005,67,69,48,73,45,32,33,22,41,20,48,60,46,39
2006,65,65,47,89,40,29,26,30,38,20,46,90,79,54
2007,60,56,41,92,40,28,31,29,34,30,47,110,92,60
2008,63,62,46,100,40,33,28,30,45,40,46,115,87,58
2009,71,65,54,95,40,38,27,30,44,31,52,115,88,56
2010,67,60,45,96,40,32,25,30,46,22,40,105,81,56
2011,63,55,43,97,40,32,28,32,37,25,46,117,71,40
2012,65,57,44,98,45,30,26,31,36,27,30,118,78,54
2013,66,56,47,78,45,27,18,29,41,26,38,99,86,59
2014,57,59,38,102,40,34,24,31,27,20,44,121,62,40
2015,70,70,47,63,49,34,16,20,30,19,41,59,55,40
2016,46,54,39,73,32,29,24,26,14,7,29,75,71.4,58
2017,67,60,52.7,102,54,37,31,32,34,17,49,107,59,42
