year,F1,F3,M4
,label F1,label F3,label M4
1987,110,172,2
1988,120,165,4
1989,119,167,1
1990,111,164,0
1991,107,157,3
1992,99,157,0
1993,114,166,2
1994,120,164,1
1995,95,153,0
1996,108,161,1
1997,119,171,1
1998,95,148,2
1999,102,157,2
2000,114,166,0
2001,110,161,5
2002,90,157,2
2003,102,152,3
2004,120,168,0
2005,105,163,1
2006,114,170,1
2007,123,169,2
2008,108,159,2
2009,90,160,1
2010,99,153,3
2011,109,162,0
2012,103,164,2
2013,125,174,2
2014,116,173,1
2015,112,164,2
2016,108,160,1
2016
2017,74,141,2
2018,77,140,2
2019,82,151,1
2020,89,152,1
2021,109,161,3
2022,85,157,1
2023,104,157,1
2024,96,152,1
2025,88,154,2
2026,118,165,2
2027,84,151,1
2028,108,155,1
2029,99,157,3
2030,117,163,0
2031,88,154,4
2032,111,157,3
2033,104,154,2
2034,109,160,2
2035,103,166,0
2036,82,141,1
2037,100,163,1
2038,84,155,3
2039,112,155,0
2040,105,156,2
2041,112,158,3
2042,115,160,0
2043,93,147,2
2044,95,152,4
2045,112,163,3
2046,106,156,4
