year,average-temperature-winter,average-temperature-spring,average-temperature-summer,average-temperature-fall
1987,-5.0,9.3,13.4,3.4
1988,0.2,11.4,15.0,2.0
1989,3.0,10.4,14.3,2.8
1990,3.0,11.6,14.2,3.3
1991,-0.1,9.0,15.5,3.8
1992,2.7,10.9,16.0,4.9
1993,1.4,10.3,13.2,3.9
1994,0.8,9.4,16.5,5.6
1995,0.8,9.5,15.4,2.3
1996,-3.1,9.1,13.3,2.4
1997,-0.5,8.9,16.3,2.2
1998,1.2,9.5,13.4,1.3
1999,-0.2,9.9,15.3,3.3
2000,1.4,11.5,14.1,6.5
2001,-1.2,9.2,14.8,3.4
2002,1.7,10.9,15.8,1.0
2003,-1.1,10.8,16.1,4.1
2004,-0.3,10.8,15.2,4.0
2005,-0.3,10.8,15.7,4.6
2006,-3.1,11.1,17.7,6.8
2007,2.1,12.4,14.6,3.7
2008,2.3,11.3,15.2,3.9
2009,-0.5,11.6,16.0,3.4
2010,-3.1,10.2,15.9,0.1
2011,-1.3,12.2,15.7,5.4
2012,0.3,10.2,14.9,2.8
2013,-2.5,11.1,15.5,5.3
2014,2.1,11.6,16.2,5.4
2015,1.9,10.0,15.5,5.9
2016,0.1,12.0,16.0,3.7
