year,annual-frozen-days
1987,44
1988,39
1989,31
1990,38
1991,44
1992,30
1993,36
1994,14
1995,29
1996,23
1997,21
1998,30
1999,27
2000,19
2001,27
2002,8
2003,29
2004,25
2005,58
2006,34
2007,25
2008,20
2009,24
2010,58
2011,24
2012,36
2013,25
2014,8
2015,17
2016,6
2017,19
2018,12
2019,9
2020,5
