year,annual-hydric-deficit
1987,-358
1988,5
1989,-486
1990,-370
1991,-273
1992,-20
1993,-33
1994,-231
1995,-90
1996,-148
1997,-402
1998,-414
1999,-128
2000,-209
2001,-416
2002,-187
2003,-561
2004,-336
2005,-433
2006,-533
2007,-359
2008,-156
2009,-320
2010,-391
2011,-480
2012,-473
2013,-120
2014,-251
2015,-426
2016,-411
