year,hydric-deficit-winter,hydric-deficit-spring,hydric-deficit-summer,hydric-deficit-fall
1987,38,-137,-238,-22
1988,149,139,-233,-50
1989,55,-195,-297,-50
1990,-9,-147,-316,102
1991,38,-104,-247,41
1992,-18,70,-247,175
1993,-105,27,-70,115
1994,60,-51,-249,8
1995,105,-108,-143,56
1996,61,-207,-143,141
1997,-25,-176,-253,52
1998,-45,-150,-274,55
1999,33,-111,-236,186
2000,-17,-64,-239,112
2001,45,-119,-290,-51
2002,-45,-94,-180,131
2003,-5,-317,-376,138
2004,85,-161,-318,58
2005,-34,-209,-244,54
2006,43,-316,-249,-11
2007,39,-110,-270,-19
2008,39,-15,-331,151
2009,-38,-77,-344,139
2010,58,-139,-369,59
2011,42,-301,-257,35
2012,-82,-109,-335,53
2013,123,0,-297,55
2014,83,-148,-184,-2
2015,76,-213,-245,-43
2016,96,-143,-363,-1
