year,precipitation-winter,precipitation-spring,precipitation-summer,precipitation-fall
1987,74,177,84,297
1988,148,440,77,136
1989,24,477,274,18
1990,18,304,62,83
1991,273,136,131,186
1992,86,314,265,286
1993,69,348,329,251
1994,151,289,290,296
1995,37,656,220,141
1996,198,266,230,321
1997,18,163,108,111
1998,51,457,119,106
1999,128,324,244,188
2000,26,301,300,326
2001,197,162,266,112
2002,290,404,409,417
2003,24,103,64,328
2004,120,299,87,146
2005,218,36,274,273
2006,28,84,0,62
2007,39,24,111,95
2008,45,150,15,220
2009,129,193,227,312
2010,173,461,202,352
2011,209,308,251,224
2012,123,418,131,330
2013,118,473,181,240
2014,265,285,304,413
2015,136,107,130,171
2016,183,263,141,295
