year,hydric-deficit-winter,hydric-deficit-spring,hydric-deficit-summer,hydric-deficit-fall
1987,-41,-150,-272,199
1988,1,139,-287,37
1989,-92,147,-80,-87
1990,-116,-17,-310,-14
1991,161,-179,-268,80
1992,-36,-10,-92,187
1993,-55,28,-22,142
1994,25,-41,-102,192
1995,-115,332,-159,16
1996,70,-89,-129,204
1997,-137,-206,-266,-30
1998,-98,100,-283,-18
1999,-23,-30,-146,64
2000,-110,-46,-68,230
2001,75,-208,-126,-15
2002,144,56,37,295
2003,-146,-318,-413,171
2004,-15,-38,-300,17
2005,87,-320,-113,155
2006,-98,-273,-384,-46
2007,-88,-335,-278,-29
2008,-95,-182,-387,86
2009,-21,-185,-202,191
2010,62,122,-191,243
2011,98,-78,-149,86
2012,-30,79,-295,204
2013,-13,156,-217,82
2014,120,-77,-48,283
2015,-37,-272,-304,55
2016,34,-96,-283,185
