year,annual-precipitations
1987,632
1988,801
1989,793
1990,467
1991,725
1992,951
1993,997
1994,1026
1995,1055
1996,1015
1997,400
1998,733
1999,883
2000,953
2001,736
2002,1520
2003,519
2004,652
2005,801
2006,174
2007,269
2008,430
2009,861
2010,1189
2011,992
2012,1002
2013,1011
2014,1268
2015,544
2016,883
