year,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10
1987,469,787,-561,-486,-14,12.8,4675,89,21.9,70
1988,503,774,-544,-471,58,13.9,5077,96,21.2,42
1989,596,721,-388,-386,-5,12.9,4734,79,21.6,54
1990,722,761,-304,-429,-6,13.8,5051,89,21.5,44
1991,529,836,-596,-581,10,13.1,4792,86,21.4,25
1992,814,707,-163,-187,42,13.0,4752,66,20.4,38
1993,804,767,-246,-222,-1,12.6,4621,67,20.1,53
1994,891,806,-203,-354,154,12.6,4610,63,20.4,47
1995,909,729,-70,-249,150,12.9,4719,87,21.3,67
1996,570,759,-484,-379,-42,12.7,4627,83,21.2,46
1997,764,797,-323,-377,-50,13.2,4850,70,20.3,28
1998,792,734,-191,-247,75,12.8,4705,88,21.4,61
1999,674,808,-418,-557,29,12.6,4617,69,20.7,56
2000,661,832,-472,-380,24,13.1,4769,91,22.1,55
2001,831,681,-119,-368,141,13.1,4778,59,19.5,24
2002,708,734,-276,-346,119,12.7,4665,72,20.5,57
2003,725,712,-243,-313,125,12.9,4708,62,20.0,29
2004,551,758,-476,-474,-2,13.3,4846,84,21.1,36
2005,670,732,-307,-300,-8,12.2,4459,76,21.2,49
2006,798,753,-193,-370,57,12.9,4719,87,21.2,39
2007,675,739,-306,-516,145,12.2,4466,61,20.1,60
2008,736,684,-188,-193,85,12.1,4410,69,19.8,42
2009,498,763,-525,-415,-62,13.1,4772,91,21.5,47
2010,663,755,-350,-412,20,13.5,4937,86,21.2,27
2011,903,729,-84,-267,135,13.0,4739,67,20.5,41
2012,630,737,-364,-380,-15,13.2,4815,81,20.1,46
2013,752,731,-234,-312,36,12.8,4697,75,20.6,50
2014,695,754,-302,-363,23,13.0,4777,88,21.5,44
2015,585,735,-401,-346,-4,12.1,4421,71,19.6,59
2016,649,729,-332,-261,-19,12.8,4676,76,21.1,35
2016
2017,788,769,-233,-325,94,13.9,5067,87,22.4,40
2018,591,791,-468,-472,57,13.8,5032,94,21.4,24
2019,868,776,-177,-353,244,14.6,5332,101,22.2,17
2020,722,777,-320,-445,87,14.8,5434,103,22.1,3
2021,680,831,-450,-511,153,13.9,5087,95,22.3,15
2022,615,777,-426,-546,199,14.2,5176,104,23.1,40
2023,785,838,-360,-463,180,14.0,5114,99,22.3,47
2024,518,827,-606,-680,150,14.0,5133,112,22.4,19
2025,615,780,-426,-413,78,14.4,5268,95,21.6,24
2026,476,839,-671,-606,17,14.4,5263,91,22.7,31
2027,857,843,-290,-510,239,14.4,5254,105,22.5,22
2028,767,734,-231,-366,107,13.6,4976,88,21.3,36
2029,814,822,-325,-320,47,13.9,5075,93,22.4,26
2030,639,833,-500,-500,57,13.7,5019,104,21.1,31
2031,1167,767,148,-317,455,13.7,5025,106,22.8,64
2032,574,804,-499,-524,101,14.8,5424,106,22.6,12
2033,624,784,-427,-470,58,14.5,5294,103,23.5,20
2034,815,754,-205,-433,203,14.0,5106,96,22.7,26
2035,629,771,-407,-428,67,14.3,5220,108,21.6,17
2036,676,755,-345,-332,49,14.5,5297,102,21.9,24
2037,617,787,-433,-482,14,14.1,5135,101,22.1,21
2038,743,795,-305,-488,127,14.0,5124,105,22.1,29
2039,727,791,-338,-328,13,14.4,5260,109,23.7,16
2040,859,783,-184,-443,231,14.0,5125,102,22.7,37
2041,682,794,-375,-467,147,14.6,5319,120,22.4,21
2042,507,761,-532,-448,-31,14.5,5310,107,23.2,38
2043,606,748,-403,-428,29,13.9,5089,83,21.3,13
2044,846,771,-175,-422,167,13.4,4899,84,22.4,24
2045,578,775,-464,-532,119,14.3,5204,97,21.7,18
2046,630,801,-422,-575,160,13.9,5078,114,22.6,33

min,200,630,,,,14,3850,0,19
max,1200,1080,,,,19,7000,150,29
steps,11,11,,,,11,10,11,11
decimals,,,,,,1
