year,precipitation-winter,precipitation-spring,precipitation-summer,precipitation-fall
1987,112,202,109,271
1988,308,164,113,90
1989,145,122,47,217
1990,190,152,49,190
1991,148,163,127,153
1992,57,141,98,180
1993,56,264,181,183
1994,184,174,200,217
1995,285,88,148,189
1996,142,104,78,201
1997,79,200,171,180
1998,119,227,230,237
1999,187,207,170,262
2000,111,168,191,376
2001,344,131,173,156
2002,137,143,111,380
2003,151,97,112,252
2004,184,89,155,153
2005,80,131,103,221
2006,155,65,172,256
2007,188,225,167,119
2008,220,214,137,193
2009,160,186,131,252
2010,140,106,89,228
2011,98,69,195,158
2012,72,269,135,296
2013,202,154,106,291
2014,317,163,152,247
2015,164,140,169,118
2016,256,194,70,110
