year,average-temperature-winter,average-temperature-spring,average-temperature-summer,average-temperature-fall
1987,3.7,13.3,18.4,8.7
1988,7.3,14.1,17.0,9.4
1989,7.6,14.1,19.0,10.1
1990,9.0,14.1,19.1,9.1
1991,5.8,12.4,19.3,8.2
1992,6.4,14.1,18.0,9.3
1993,7.1,14.2,16.6,8.2
1994,8.4,13.5,18.3,11.1
1995,8.0,13.7,19.1,9.7
1996,6.4,13.4,17.5,8.4
1997,7.3,14.2,19.1,10.4
1998,7.6,13.9,17.4,9.0
1999,8.0,14.5,19.4,9.6
2000,7.4,14.4,18.3,10.2
2001,7.8,14.0,18.2,9.6
2002,9.0,13.9,17.8,10.9
2003,7.1,15.3,20.2,9.6
2004,6.9,13.9,18.2,9.3
2005,6.9,14.4,18.4,9.3
2006,5.4,14.6,19.8,10.7
2007,8.6,15.0,16.5,8.5
2008,7.7,14.0,16.8,8.4
2009,5.8,13.9,17.7,9.8
2010,5.3,13.7,17.8,7.5
2011,7.8,14.9,17.6,11.3
2012,7.1,13.3,17.2,9.7
2013,5.2,12.2,18.6,10.0
2014,8.2,13.9,17.9,10.7
2015,6.4,14.0,17.4,11.5
2016,7.0,13.2,18.9,8.6
