year,A1,A2,A3
,label A1,label A2,label A3
1987,21,1962,147
1988,20,2350,163
1989,4,2304,75
1990,8,2282,57
1991,21,2242,168
1992,15,2253,100
1993,12,2295,108
1994,6,2433,98
1995,13,2404,87
1996,16,2448,129
1997,11,2222,118
1998,6,2180,75
1999,8,2323,109
2000,10,2029,106
2001,13,2291,99
2002,20,2193,137
2003,10,2215,80
2004,0,2274,34
2005,21,2246,118
2006,12,2198,84
2007,10,2286,80
2008,21,2223,162
2009,18,2296,140
2010,9,2474,86
2011,9,2270,70
2012,15,2143,131
2013,27,2542,171
2014,2,2323,51
2015,13,2440,92
2016,8,2410,80
2016
2017,7,1970,84
2018,43,1933,247
2019,24,2172,173
2020,9,2069,83
2021,14,2151,150
2022,25,2149,144
2023,9,2033,162
2024,24,2057,225
2025,22,2018,151
2026,22,2096,191
2027,10,1986,159
2028,18,1955,132
2029,14,2065,152
2030,21,1828,180
2031,24,1925,151
2032,15,2005,135
2033,31,1918,211
2034,21,2046,141
2035,12,2109,105
2036,27,2007,209
2037,5,1990,77
2038,12,2000,88
2039,18,1978,128
2040,19,1994,159
2041,21,2297,167
2042,23,1774,160
2043,33,2166,206
2044,18,1948,139
2045,40,2104,231
2046,10,2029,99
