year,hydric-deficit-winter,hydric-deficit-spring,hydric-deficit-summer,hydric-deficit-fall
1987,21,-82,-181,189
1988,206,-130,-165,12
1989,49,-189,-292,131
1990,103,-110,-293,124
1991,78,-60,-159,104
1992,-21,-139,-158,113
1993,-34,-1,-104,97
1994,92,-110,-92,138
1995,179,-208,-193,99
1996,38,-181,-252,119
1997,-12,-107,-144,92
1998,22,-38,-61,160
1999,90,-62,-151,174
2000,19,-104,-104,292
2001,253,-166,-131,70
2002,27,-144,-194,291
2003,32,-229,-245,164
2004,76,-219,-148,67
2005,-20,-163,-229,132
2006,61,-232,-169,166
2007,83,-52,-100,43
2008,119,-72,-154,113
2009,60,-94,-174,165
2010,39,-207,-233,151
2011,-3,-257,-93,69
2012,-33,-3,-156,212
2013,119,-108,-225,211
2014,213,-129,-145,165
2015,72,-160,-143,30
2016,154,-66,-260,35
