year,A1,A2,A3
,label A1,label A2,label A3
1987,67,1634,434
1988,51,2088,353
1989,55,2099,435
1990,54,2314,440
1991,66,2209,541
1992,66,2133,503
1993,65,2256,509
1994,50,1995,408
1995,43,1971,305
1996,59,2096,479
1997,38,2051,346
1998,100,2163,663
1999,58,2410,486
2000,35,2108,369
2001,92,2011,631
2002,69,2206,547
2003,81,1958,593
2004,42,2043,349
2005,64,2258,495
2006,75,1908,583
2007,63,1894,452
2008,48,2184,415
2009,59,1911,455
2010,45,1946,348
2011,62,2184,427
2012,53,1903,451
2013,47,1900,399
2014,48,2052,383
2015,52,1881,396
2016,31,2152,282
2016
2017,87,1770,615
2018,62,1843,500
2019,91,1863,642
2020,90,1806,564
2021,62,1926,545
2022,110,1677,682
2023,84,1660,604
2024,88,1845,591
2025,60,2124,491
2026,72,1878,568
2027,96,1988,653
2028,78,1743,573
2029,71,1839,585
2030,100,1909,697
2031,85,1744,642
2032,72,2046,604
2033,100,1619,671
2034,76,1886,609
2035,89,1769,638
2036,90,1770,647
2037,72,1860,533
2038,102,1699,679
2039,91,1762,591
2040,98,1784,711
2041,88,1856,623
2042,109,1969,791
2043,79,1593,556
2044,87,1815,681
2045,79,1768,596
2046,95,1623,668

min,,1400
max,,2750
steps,,10
decimal



