year,precipitation-winter,precipitation-spring,precipitation-summer,precipitation-fall
1987,283,288,65,203
1988,354,213,93,116
1989,106,188,132,178
1990,172,203,49,267
1991,139,174,53,175
1992,43,181,48,95
1993,36,101,64,404
1994,108,232,118,159
1995,391,288,264,301
1996,360,447,379,681
1997,111,141,40,427
1998,81,186,191,210
1999,227,366,94,241
2000,85,72,60,368
2001,344,163,239,261
2002,136,147,379,245
2003,179,132,115,319
2004,418,391,50,381
2005,181,179,409,590
2006,285,194,224,103
2007,339,213,208,183
2008,192,263,56,377
2009,330,226,115,462
2010,366,253,112,372
2011,87,95,150,248
2012,65,177,96,383
2013,383,182,84,327
2014,316,272,301,267
2015,215,198,129,237
2016,338,287,216,209
