year,annual-frozen-days
1987,60
1988,41
1989,47
1990,43
1991,57
1992,55
1993,93
1994,14
1995,58
1996,59
1997,4
1998,22
1999,15
2000,15
2001,12
2002,8
2003,33
2004,28
2005,38
2006,28
2007,17
2008,20
2009,23
2010,24
2011,10
2012,26
2013,5
2014,7
2015,4
2016,13
