year,annual-average-temperature
1987,12.0
1988,12.9
1989,12.8
1990,13.3
1991,12.2
1992,12.8
1993,11.8
1994,14.8
1995,11.8
1996,11.8
1997,14.5
1998,14.8
1999,14.9
2000,15.5
2001,14.9
2002,15.3
2003,15.2
2004,14.3
2005,13.8
2006,14.4
2007,15.1
2008,15.1
2009,14.9
2010,14.6
2011,15.6
2012,15.5
2013,15.3
2014,15.5
2015,15.6
2016,14.9

min,10
max,16
steps,7
decimal


