year,winter-soft-wheat,winter-barley,triticale,rye,maize-for-grain,winter-rapeseed,linseed-oild,spring-field-peas,broad-bean,sugar-beet,potatoes,maize-silage,temporary-grasslands,permanent-grasslands
,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha
2000,82,75,68,65,97,32,20,45,40,745,428,145,108,75
2001,80,76,70,60,89,34,20,39,45,612,392,135,96,61
2002,86,80,75,70,86,38,18,54,55,759,460,146,98,63
2003,77,69,67,65,77,37,18,52,52,710,441,140,93,61
2004,92,84,70,65,95,40,20,52,53,800,489,131,100,70
2005,80,81,63,63,85,43,20,40,45,800,471,142,92,66
2006,81,75,67,69,88,29,20,49,45,790,434,130,99,71
2007,77,72,67,65,93,31,24,45,52,821,483,140,124,93
2008,90,88,68,75,92,38,24,52,55,871,465,150,112,78
2009,91,85,62,62,94,43,24,55,53,900,456,150,81,55
2010,82,77,55,60,91,37,22,48,32,820,437,135,81,55
2011,70,68,55,52,102,39,20,35,35,910,471,150,68,51
2012,82,80,63,62,87,39,22,47,54,834,422,143,104,73
2013,88,79,63,67,90,34,22,48,36,855,432,143,96,69
2014,87,82,71,70,98,40,20,41,46,910,471,150,150,106
2015,93,93,65,69,83,39,23,42,26,795,432,118,70,48
2016,52,60,36,57,65,31,18,29,35,826,398,135,98,69
2017,83,80,63,64,100,42,23,44,28,950,459,151,65,45
