year,hydric-deficit-winter,hydric-deficit-spring,hydric-deficit-summer,hydric-deficit-fall
1987,57,-29,-62,117
1988,225,-137,-82,110
1989,54,-124,-274,46
1990,62,-158,-239,71
1991,39,-113,-179,96
1992,-8,-111,-170,129
1993,-7,-139,-74,210
1994,79,-81,-73,67
1995,174,-156,-181,16
1996,21,-186,-213,94
1997,-2,-36,-178,164
1998,18,-65,-149,152
1999,37,-98,-29,223
2000,47,-51,-79,346
2001,199,-150,-23,73
2002,94,-180,-162,178
2003,3,-146,-263,46
2004,44,-172,-142,34
2005,-6,-144,-209,37
2006,61,-76,-134,88
2007,71,-112,-46,83
2008,67,-97,-146,93
2009,42,-129,-238,126
2010,90,-209,-122,63
2011,-6,-275,-43,142
2012,-16,-48,-224,184
2013,5,-104,-153,133
2014,39,-128,-27,84
2015,30,-217,-172,59
2016,122,91,-263,57
