year,hydric-deficit-winter,hydric-deficit-spring,hydric-deficit-summer,hydric-deficit-fall
1987,47,-62,-106,164
1988,206,-90,-170,45
1989,-9,-193,-241,11
1990,6,-158,-323,110
1991,38,-137,-201,98
1992,-15,-87,-73,161
1993,-57,-35,-128,92
1994,59,-30,-115,85
1995,131,-150,-208,94
1996,43,-203,-228,174
1997,-12,-64,-158,118
1998,9,-82,-208,123
1999,54,-135,-61,177
2000,35,-96,-136,191
2001,108,-97,-195,81
2002,-12,-108,-169,168
2003,12,-118,-320,136
2004,102,-188,-78,104
2005,29,-211,-211,47
2006,143,-149,-148,92
2007,115,-145,-145,44
2008,61,-33,-232,94
2009,-11,-77,-233,98
2010,43,-76,-188,153
2011,-34,-278,-91,156
2012,-49,-63,-264,177
2013,113,-11,-266,124
2014,38,-131,1,104
2015,45,-174,-234,5
2016,183,64,-333,47
