year,C1,C2,C3,C12,M1,M2,M8,Co2,Co3
,label C1,label C2,label C3,label C12,label M1,label M2,label M8,label Co2,label Co3
1987,15,2,-134,7,1,-289,52,20,118
1988,23,0,-124,6,10,-318,37,22,83
1989,22,1,-89,6,5,-313,54,21,57
1990,13,1,-91,9,6,-293,57,23,117
1991,21,0,-64,4,6,-347,52,11,68
1992,10,11,-9,2,1,-116,60,30,63
1993,12,1,-89,7,3,-382,54,13,11
1994,10,0,-130,6,6,-272,62,23,124
1995,12,6,-64,5,4,-277,65,5,65
1996,20,1,-70,4,0,-289,60,15,79
1997,21,0,-163,5,4,-365,64,32,72
1998,7,4,151,5,0,-52,67,15,49
1999,11,3,-137,6,0,-399,59,9,33
2000,16,7,-118,3,10,-405,61,13,54
2001,17,1,-1,7,6,-191,46,20,130
2002,11,0,-68,5,5,-237,55,25,67
2003,8,0,-47,3,1,-165,58,16,118
2004,11,0,-91,5,1,-299,63,19,69
2005,21,0,-95,5,3,-332,42,22,58
2006,14,3,-57,3,0,-238,47,16,21
2007,20,0,-27,6,0,-304,58,21,34
2008,18,0,-1,7,5,-230,74,20,51
2009,6,0,-120,4,3,-292,77,15,77
2010,12,4,-122,5,1,-239,50,20,106
2011,10,2,-119,6,3,-282,57,17,80
2012,10,0,-139,6,1,-331,52,28,93
2013,16,1,-55,5,4,-202,54,14,75
2014,6,0,-61,4,2,-222,70,16,80
2015,9,0,-51,6,13,-316,66,11,43
2016,12,2,-119,7,0,-303,59,29,51
2016
2017,13,0,-110,6,1,-294,42,14,77
2018,24,1,-109,6,10,-346,45,9,67
2019,19,0,-102,3,2,-292,51,10,62
2020,27,0,-137,8,6,-349,52,9,58
2021,40,1,-188,7,7,-444,31,22,47
2022,24,1,-144,5,5,-328,40,15,64
2023,25,0,-166,4,5,-455,54,16,44
2024,28,2,-187,9,3,-421,39,11,75
2025,20,0,-113,7,13,-335,55,12,78
2026,20,4,-205,7,10,-455,53,4,91
2027,18,8,-74,5,12,-299,46,11,52
2028,39,0,-177,7,10,-423,39,5,114
2029,23,1,-158,10,1,-430,54,10,24
2030,28,0,-120,6,5,-371,57,11,70
2031,29,1,-25,5,5,-220,54,9,49
2032,28,0,-189,6,8,-460,38,7,36
2033,29,0,-130,7,12,-398,48,8,67
2034,21,2,-140,8,7,-416,57,3,54
2035,18,1,-24,3,16,-239,47,16,60
2036,18,0,-161,7,5,-401,45,6,27
2037,35,1,-103,7,9,-358,35,10,37
2038,54,4,-165,4,20,-414,28,10,63
2039,36,1,-155,7,13,-405,42,4,75
2040,41,0,-196,3,20,-457,30,6,34
2041,19,4,-87,4,4,-235,34,5,107
2042,22,0,-48,2,3,-188,47,5,76
2043,46,4,-208,6,11,-472,36,2,29
2044,28,3,-44,6,9,-304,41,6,33
2045,24,0,-137,6,4,-318,25,13,71
2046,13,0,-125,5,6,-358,54,1,21
