year,A1,A2,A3
,label A1,label A2,label A3
1987,11,2305,105
1988,17,2365,184
1989,29,2428,202
1990,27,2471,185
1991,28,2282,226
1992,21,2741,130
1993,8,2300,119
1994,11,2679,117
1995,16,2555,125
1996,15,2528,130
1997,31,2538,216
1998,17,2403,104
1999,15,2328,148
2000,28,2487,224
2001,31,2376,197
2002,18,2367,138
2003,15,2406,119
2004,13,2309,103
2005,8,2423,105
2006,11,2374,101
2007,22,2407,157
2008,19,2700,147
2009,19,2479,132
2010,14,2447,108
2011,12,2391,102
2012,7,2570,87
2013,28,2330,187
2014,18,2352,127
2015,35,2332,248
2016,10,2670,99
2016
2017,14,2334,131
2018,30,1860,252
2019,28,2226,189
2020,46,2274,293
2021,42,2423,323
2022,42,2274,268
2023,30,2331,211
2024,22,2213,232
2025,42,2262,303
2026,38,2009,264
2027,44,2350,327
2028,49,1856,343
2029,20,2204,206
2030,26,2213,214
2031,38,2255,251
2032,43,1906,279
2033,39,2217,293
2034,33,2242,224
2035,42,2241,306
2036,39,2107,253
2037,50,2035,314
2038,84,2013,535
2039,56,2151,354
2040,67,2118,444
2041,33,2030,229
2042,23,2009,173
2043,68,2339,381
2044,55,2120,391
2045,31,1981,257
2046,35,1957,215
