year,winter-soft-wheat,winter-barley,triticale,maize-for-grain,grain-sorghum,winter-rapeseed,sunflower,soybean,spring-field-peas,broad-bean,vineyards,maize-silage,temporary-grasslands,permanent-grasslands
,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,Hl-ha,100-kg-ha,100-kg-ha,100-kg-ha
2000,71,72,47,94,56,26,28,25,41,40,63,125,73,55
2001,65,61,45,88,52,24,20,24,34,40,62,95,64,44
2002,73,71,60,89,52,28,24,24,50,35,56,93,60,43
2003,53,46,38,83,35,30,21,22,40,23,53,80,45,32
2004,70,68,55,96,50,30,28,25,35,30,65,130,79,59
2005,64,68,51,94,50,33,26,25,36,25,59,110,60,42
2006,62,67,45,95,50,28,20,23,35,26,57,85,60,41
2007,59,55,38,89,30,25,23,22,30,19,58,109,73,53
2008,62,65,47,93,45,30,24,22,41,22,53,77,66,48
2009,67,64,50,90,47,33,24,22,39,25,43,76,60,44
2010,64,62,45,94,45,28,24,25,40,25,58,93,59,41
2011,57,57,45,98,65,26,25,25,35,30,51,91,35,25
2012,69,68,55,86,60,30,22,25,35,29,53,89,60,43
2013,68,64,52,87,58,21,20,24,36,28,56,91,67,47
2014,69,67,48,100,58,32,22,20,35,27,61,85,63,45
2015,70,69,51,82,55,28,18,23,33,25,56,80,52,38
2016,40,47,31,68,48,27,16,20,16,12,49,52,33,26
2017,67,61,45,105,59,32,29,24,37,22,56,93,60,42
