year,annual-estival-days
1987,41
1988,31
1989,71
1990,56
1991,61
1992,52
1993,36
1994,51
1995,62
1996,51
1997,68
1998,54
1999,65
2000,56
2001,54
2002,43
2003,87
2004,61
2005,71
2006,65
2007,43
2008,51
2009,65
2010,59
2011,63
2012,57
2013,60
2014,51
2015,63
2016,58
