year,precipitation-winter,precipitation-spring,precipitation-summer,precipitation-fall
1987,127,212,207,236
1988,299,176,146,114
1989,89,144,139,124
1990,127,151,73,192
1991,130,140,164,164
1992,81,229,257,232
1993,43,238,200,179
1994,162,267,219,179
1995,243,142,158,191
1996,146,123,131,256
1997,93,259,194,221
1998,129,232,148,203
1999,154,157,297,264
2000,134,213,203,298
2001,217,213,144,174
2002,111,206,151,265
2003,143,223,93,224
2004,217,138,265,185
2005,133,125,157,140
2006,234,172,219,188
2007,217,166,178,127
2008,173,253,110,175
2009,99,226,131,189
2010,142,196,141,231
2011,69,82,238,241
2012,58,230,109,267
2013,202,245,105,216
2014,164,181,317,195
2015,139,163,146,95
2016,281,303,43,129
